date,max_temp,min_temp
2026-06-24,19.1,1.9
2026-06-25,18.1,3.0
2026-06-26,11.6,3.3
2026-06-27,13.2,1.1
2026-06-28,11.1,2.6
2026-06-29,12.8,5.3
2026-06-30,11.9,3.2
